Store: North Market
product: apple , stock: 120 , sells_per_day: 12.5
product: banana , stock: 85 , sells_per_day: 18.3
product: orange , stock: 60 , sells_per_day: 9.7
product: milk , stock: 40 , sells_per_day: 22.1
product: bread , stock: 75 , sells_per_day: 25.4
product: rice , stock: 5 , sells_per_day: 8.3
product: beans , stock: 150 , sells_per_day: 6.1
product: sugar , stock: 90 , sells_per_day: 4.7
product: cheese , stock: 8 , sells_per_day: 14.6
product: yogurt , stock: 70 , sells_per_day: 16.9
product: pasta , stock: 95 , sells_per_day: 5.3
product: tomato , stock: 3 , sells_per_day: 21.4
product: onion , stock: 120 , sells_per_day: 11.2
product: water , stock: 300 , sells_per_day: 35.6
product: juice , stock: 210 , sells_per_day: 28.3
product: butter , stock: 60 , sells_per_day: 13.5
product: eggs , stock: 130 , sells_per_day: 30.2
product: salt , stock: 80 , sells_per_day: 3.4
product: oil , stock: 4 , sells_per_day: 4.2

Store: Green Valley Shop
product: apple , stock: 95 , sells_per_day: 11.8
product: banana , stock: 110 , sells_per_day: 17.6
product: orange , stock: 7 , sells_per_day: 9.7
product: milk , stock: 40 , sells_per_day: 22.1
product: bread , stock: 6 , sells_per_day: 25.4
product: rice , stock: 200 , sells_per_day: 8.3
product: beans , stock: 150 , sells_per_day: 6.1
product: sugar , stock: 90 , sells_per_day: 4.7
product: cheese , stock: 45 , sells_per_day: 14.6
product: yogurt , stock: 4 , sells_per_day: 16.9
product: pasta , stock: 95 , sells_per_day: 5.3
product: tomato , stock: 150 , sells_per_day: 22.6
product: onion , stock: 120 , sells_per_day: 11.2
product: water , stock: 5 , sells_per_day: 35.6
product: juice , stock: 160 , sells_per_day: 27.5
product: butter , stock: 60 , sells_per_day: 13.5
product: eggs , stock: 130 , sells_per_day: 30.2
product: salt , stock: 80 , sells_per_day: 3.4
product: oil , stock: 95 , sells_per_day: 4.2

Store: Downtown Fresh
product: apple , stock: 140 , sells_per_day: 13.2
product: banana , stock: 6 , sells_per_day: 18.3
product: orange , stock: 100 , sells_per_day: 10.4
product: milk , stock: 65 , sells_per_day: 23.8
product: bread , stock: 75 , sells_per_day: 25.4
product: rice , stock: 200 , sells_per_day: 8.3
product: beans , stock: 5 , sells_per_day: 6.1
product: sugar , stock: 90 , sells_per_day: 4.7
