
Store: North Market
product: apple , quantity: 120 , sells_per_day: 12.5
product: banana , quantity: 85 , sells_per_day: 18.3
product: orange , quantity: 60 , sells_per_day: 9.7
product: milk , quantity: 40 , sells_per_day: 22.1
product: bread , quantity: 75 , sells_per_day: 25.4
product: rice , quantity: 5 , sells_per_day: 8.3
product: beans , quantity: 150 , sells_per_day: 6.1
product: sugar , quantity: 90 , sells_per_day: 4.7
product: cheese , quantity: 8 , sells_per_day: 14.6
product: yogurt , quantity: 96 , sells_per_day: 16.9
product: pasta , quantity: 95 , sells_per_day: 5.3
product: tomato , quantity: 193 , sells_per_day: 21.4
product: onion , quantity: 120 , sells_per_day: 11.2
product: water , quantity: 300 , sells_per_day: 35.6
product: juice , quantity: 210 , sells_per_day: 28.3
product: butter , quantity: 60 , sells_per_day: 13.5
product: eggs , quantity: 130 , sells_per_day: 30.2
product: salt , quantity: 80 , sells_per_day: 3.4
product: oil , quantity: 4 , sells_per_day: 4.2

Store: Green Valley Shop
product: apple , quantity: 95 , sells_per_day: 11.8
product: banana , quantity: 110 , sells_per_day: 17.6
product: orange , quantity: 7 , sells_per_day: 9.7
product: milk , quantity: 40 , sells_per_day: 22.1
product: bread , quantity: 6 , sells_per_day: 25.4
product: rice , quantity: 200 , sells_per_day: 8.3
product: beans , quantity: 150 , sells_per_day: 6.1
product: sugar , quantity: 90 , sells_per_day: 4.7
product: cheese , quantity: 45 , sells_per_day: 14.6
product: yogurt , quantity: 67 , sells_per_day: 16.9
product: pasta , quantity: 95 , sells_per_day: 5.3
product: tomato , quantity: 150 , sells_per_day: 22.6
product: onion , quantity: 120 , sells_per_day: 11.2
product: water , quantity: 5 , sells_per_day: 35.6
product: juice , quantity: 160 , sells_per_day: 27.5
product: butter , quantity: 60 , sells_per_day: 13.5
product: eggs , quantity: 130 , sells_per_day: 30.2
product: salt , quantity: 80 , sells_per_day: 3.4
product: oil , quantity: 95 , sells_per_day: 4.2

Store: Downtown Fresh
product: apple , quantity: 140 , sells_per_day: 13.2
product: banana , quantity: 6 , sells_per_day: 18.3
product: orange , quantity: 100 , sells_per_day: 10.4
product: milk , quantity: 65 , sells_per_day: 23.8
product: bread , quantity: 75 , sells_per_day: 25.4
product: rice , quantity: 200 , sells_per_day: 8.3
product: beans , quantity: 5 , sells_per_day: 6.1
product: sugar , quantity: 90 , sells_per_day: 4.7
product: cheese , quantity: 45 , sells_per_day: 14.6
product: yogurt , quantity: 96 , sells_per_day: 16.9
product: pasta , quantity: 3 , sells_per_day: 5.3
product: tomato , quantity: 150 , sells_per_day: 22.6
product: onion , quantity: 120 , sells_per_day: 11.2
product: water , quantity: 300 , sells_per_day: 35.6
product: juice , quantity: 7 , sells_per_day: 28.3
product: butter , quantity: 60 , sells_per_day: 13.5
product: eggs , quantity: 130 , sells_per_day: 30.2
product: salt , quantity: 80 , sells_per_day: 3.4
product: oil , quantity: 95 , sells_per_day: 4.2

Store: Sunset Grocery
product: apple , quantity: 4 , sells_per_day: 12.5
product: banana , quantity: 130 , sells_per_day: 19.1
product: orange , quantity: 60 , sells_per_day: 9.7
product: milk , quantity: 40 , sells_per_day: 22.1
product: bread , quantity: 75 , sells_per_day: 25.4
product: rice , quantity: 180 , sells_per_day: 7.8
product: beans , quantity: 150 , sells_per_day: 6.1
